,Date,Week_Day,Eat_Ross,Eat_Chandler,Eat_BT1,Eat_BT2,Eat_BT3,Eat_BT4,Eat_BT5,Eat_GR1,Eat_GR2,Eat_GR3,Eat_GR4,Eat_GR5,Eat_Total,SharkCount,AvgPiecesPerShark,Drop_Ross,Drop_Chandler,Drop_BT1,Drop_BT2,Drop_BT3,Drop_BT4,Drop_BT5,Drop_GR1,Drop_GR2,Drop_GR3,Drop_GR4,Drop_GR5,Drop_Total,AvgDropsPerShark,Target_Ross,Target_Chandler,Target_BT1,Target_BT2,Target_BT3,Target_BT4,Target_BT5,Target_GR1,Target_GR2,Target_GR3,Target_GR4,Target_GR5,Target_Total,AvgTargetsPerShark,Temperature,Temperature_Rounded,Saury,Blue Runner,Squid,Mackerel,Herring,Sardine,Mazuri Vitamins,Garlic,Salmon,Bonito,Bluefish,Mahi,Goggle Eye,Humbolt Squid,BT/SB Location (1-6),GR Location (1-6),food_combo,,,,,,,
49,3/1/2018,Thursday,7,2,5,0,2,3,1,0,0,0,1,0,21,12,1.75,0,0,3,0,0,0,1,0,0,0,1,0,5,0.416666667,10,3,16,2,9,10,3,0,0,3,1,0,57,4.75,72.8,73,0,1,1,0,0,0,1,1,0,0,0,0,0,0,1,3,Blue Runner_Squid,,,,,,,
50,3/3/2018,Saturday,11,5,2,0,1,0,0,0,1,4,4,0,28,12,2.333333333,0,0,0,1,0,0,0,0,0,0,0,0,1,0.083333333,7,10,10,2,6,1,4,0,1,0,2,2,45,3.75,73.6,74,0,0,0,1,1,1,0,1,0,0,0,0,0,0,1,3,Mackerel_Herring,,,,,,,
51,3/5/2018,Monday,0,6,3,1,0,3,3,0,0,3,3,0,22,12,1.833333333,0,1,1,0,0,0,2,0,0,2,0,0,6,0.5,8,16,19,5,8,9,11,6,1,17,11,4,115,9.583333333,73.8,74,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,Saury,,,,,,,
52,3/8/2018,Thursday,7,0,3,2,3,0,4,0,0,1,1,1,22,12,1.833333333,0,0,1,0,0,0,0,0,0,0,0,0,1,0.083333333,30,12,24,7,17,21,13,3,0,5,1,3,136,11.33333333,72.6,73,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,3,Blue Runner_Squid,,,,,,,
53,3/10/2018,Saturday,,,,,,,,0,0,0,0,1,1,5,0.2,,,,,,,,0,0,0,0,0,0,0,,,,,,,,0,2,1,3,6,12,2.4,73.4,73,0,0,0,0,0,0,0,0,1,0,0,0,0,0,,3,Salmon,,,,,,,
54,3/11/2018,Sunday,11,3,1,0,0,3,2,,,,,,20,7,2.857142857,1,1,1,0,1,2,0,,,,,,6,0.857142857,28,13,7,4,5,8,2,,,,,,67,9.571428571,73.2,73,0,0,0,1,1,1,0,1,0,0,0,0,0,0,1,,Mackerel_Herring,,,,,,,
55,3/13/2018,Tuesday,2,1,0,0,0,0,0,0,0,2,2,3,10,12,0.833333333,0,1,2,2,2,0,2,0,0,0,0,1,10,0.833333333,2,8,12,2,0,0,3,5,4,4,3,2,45,3.75,72.4,72,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,,Saury,,,,,,,
56,3/15/2018,Thursday,2,4,2,5,1,1,4,0,0,0,0,1,20,12,1.666666667,1,2,0,0,0,1,0,0,0,0,0,0,4,0.333333333,17,16,14,6,5,12,10,0,1,0,1,0,82,6.833333333,73.6,74,0,1,1,0,0,0,1,1,0,0,0,0,1,0,1,3,Blue Runner_Squid_Goggle Eye,,,,,,,
57,3/17/2018,Saturday,,,,,,,,1,1,4,1,4,11,5,2.2,,,,,,,,0,0,0,1,1,2,0.4,,,,,,,,1,2,12,1,3,19,3.8,74,74,0,0,0,0,1,0,0,1,0,0,0,0,0,0,,3,Herring,,,,,,,
58,3/18/2018,Sunday,9,5,0,1,2,0,1,,,,,,18,7,2.571428571,2,1,0,1,0,1,0,,,,,,5,0.714285714,16,10,8,4,3,10,9,,,,,,60,8.571428571,74,74,0,0,0,1,0,1,1,1,0,0,0,0,0,0,1,,Mackerel,,,,,,,
59,3/20/2018,Tuesday,3,1,0,0,7,2,6,3,2,1,0,0,25,12,2.083333333,1,0,4,2,0,0,0,0,0,1,0,0,8,0.666666667,7,12,11,2,6,5,5,3,2,2,3,1,59,4.916666667,73.8,74,1,0,0,0,0,0,1,1,0,0,0,0,0,0,1,3,Saury,,,,,,,
60,3/22/2018,Thursday,9,5,0,2,0,0,1,0,0,0,0,1,18,12,1.5,0,0,1,0,0,1,0,0,0,0,0,0,2,0.166666667,11,5,2,6,1,1,0,0,1,0,1,3,31,2.583333333,74,74,0,1,0,0,0,0,1,1,0,0,0,0,0,0,1,3,Blue Runner,,,,,,,
61,3/24/2018,Saturday,,,,,,,,0,0,4,1,0,5,5,1,,,,,,,,0,0,0,1,0,1,0.2,,,,,,,,0,2,3,2,0,7,1.4,74.2,74,0,0,0,0,1,0,0,1,0,0,0,0,0,0,,4,Herring,,,,,,,
62,3/25/2018,Sunday,13,5,0,0,0,2,0,,,,,,20,7,2.857142857,0,3,0,0,0,0,0,,,,,,3,0.428571429,25,23,2,0,1,5,2,,,,,,58,8.285714286,74.4,74,0,0,0,1,0,1,0,1,0,0,0,0,0,0,1,,Mackerel,,,,,,,
63,3/27/2018,Tuesday,5,4,0,0,0,4,0,2,2,3,1,3,24,12,2,0,3,0,0,0,1,0,0,0,1,0,0,5,0.416666667,6,11,0,0,0,1,0,7,6,11,1,1,44,3.666666667,73.8,74,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,Saury,,,,,,,
64,3/29/2018,Thursday,6,0,1,3,3,3,2,0,1,0,1,3,23,12,1.916666667,0,0,0,0,1,0,2,0,0,0,0,0,3,0.25,17,5,22,5,9,14,12,0,0,0,1,1,86,7.166666667,74.4,74,0,1,0,0,0,0,1,1,0,0,0,0,0,0,1,3,Blue Runner,,,,,,,
65,3/31/2018,Saturday,,,,,,,,1,0,1,0,1,3,5,0.6,,,,,,,,0,0,0,0,0,0,0,,,,,,,,4,0,3,1,0,8,1.6,74.4,74,0,0,0,0,1,0,0,1,0,0,0,0,0,0,,3,Herring,,,,,,,
66,4/1/2018,Sunday,4,4,2,5,5,5,2,,,,,,27,7,3.857142857,0,0,0,0,0,0,0,,,,,,0,0,14,14,15,5,13,9,4,,,,,,74,10.57142857,74.4,74,0,0,0,1,0,1,0,1,0,0,0,0,0,0,1,,Mackerel,,,,,,,
67,4/3/2018,Tuesday,0,0,3,2,0,3,0,1,2,2,1,3,17,12,1.416666667,0,0,2,4,0,0,0,0,0,1,0,0,7,0.583333333,1,3,17,8,1,6,2,3,8,11,6,0,66,5.5,74.6,75,1,0,0,0,0,0,1,1,0,0,0,0,0,0,4,2,Saury,,,,,,,
68,4/5/2018,Thursday,6,3,1,4,1,2,2,1,0,0,0,2,22,12,1.833333333,0,1,1,0,0,0,1,0,0,0,1,1,5,0.416666667,17,11,27,7,11,12,3,2,0,2,0,5,97,8.083333333,74.4,74,0,1,0,0,0,0,1,1,0,0,0,0,0,0,4,2,Blue Runner,,,,,,,
